QuestionID	Question	DocumentID	DocumentTitle	SentenceID	Sentence	Label
Q1	how are glacier caves formed?	D1	Glacier cave	D1-0	A partly submerged glacier cave on Perito Moreno Glacier .	0
Q1	how are glacier caves formed?	D1	Glacier cave	D1-1	The ice facade is approximately 60 m high	0
Q1	how are glacier caves formed?	D1	Glacier cave	D1-2	Ice formations in the Titlis glacier cave	0
Q1	how are glacier caves formed?	D1	Glacier cave	D1-3	A glacier cave is a cave formed within the ice of a glacier .	1
Q1	how are glacier caves formed?	D1	Glacier cave	D1-4	Glacier caves are often called ice caves , but this term is properly used to describe bedrock caves that contain year-round ice.	0
Q2	How are the directions of the velocity and force vectors related in a circular motion	D2	Circular motion	D2-0	In physics , circular motion is a movement of an object along the circumference of a circle or rotation along a circular path.	0
Q2	How are the directions of the velocity and force vectors related in a circular motion	D2	Circular motion	D2-1	It can be uniform, with constant angular rate of rotation (and constant speed), or non-uniform with a changing rate of rotation.	0
Q2	How are the directions of the velocity and force vectors related in a circular motion	D2	Circular motion	D2-2	The rotation around a fixed axis of a three-dimensional body involves circular motion of its parts.	0
Q2	How are the directions of the velocity and force vectors related in a circular motion	D2	Circular motion	D2-3	The equations of motion describe the movement of the center of mass of a body.	0
Q2	How are the directions of the velocity and force vectors related in a circular motion	D2	Circular motion	D2-4	Examples of circular motion include: an artificial satellite orbiting the Earth at constant height, a stone which is tied to a rope and is being swung in circles, a car turning through a curve in a race track , an electron moving perpendicular to a uniform magnetic field , and a gear turning inside a mechanism.	0
Q2	How are the directions of the velocity and force vectors related in a circular motion	D2	Circular motion	D2-5	Since the object's velocity vector is constantly changing direction, the moving object is undergoing acceleration by a centripetal force in the direction of the center of rotation.	0
Q2	How are the directions of the velocity and force vectors related in a circular motion	D2	Circular motion	D2-6	Without this acceleration, the object would move in a straight line, according to Newton's laws of motion .	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-0	Apollo Creed is a fictional character from the Rocky films , initially portrayed as the Undisputed Heavyweight Champion of the World.	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-1	He was played by Carl Weathers .	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-2	Creed had multiple nicknames, including The Master of Disaster, The King of Sting, The Dancing Destroyer, The Prince of Punch, The One and Only and The Count of Monte Fisto.	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-3	Urban legend states that Apollo Creed's name is a wordplay on the Apostles' Creed , a statement of belief used in Christian churches.	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-4	All of Apollo's championship fights were scheduled for the 15 round distance.	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-5	Championship fights did not convert from 15 rounds to 12 rounds until 1987.	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-6	Rocky Balboa is often wrongly credited with popularizing the red, white, and blue trunks; Creed was the first man to wear them (latterly worn by Rocky Balboa in the 3rd and 4th installments and finally by Tommy "The Machine" Gunn ( Tommy Morrison ) in the 5th installment) although normally he wore red and white, as seen in Rocky II.	0
Q5	how did apollo creed die	D5	Apollo Creed	D5-7	Balboa's signature colors were black and goldâ€”colors he used in the latest movie .	0
Q6	how long is the term for federal judges	D6	United States federal judge	D6-0	In the United States, the title of federal judge usually means a judge appointed by the President of the United States and confirmed by the United States Senate pursuant to the Appointments Clause in Article II of the United States Constitution .	0
Q6	how long is the term for federal judges	D6	United States federal judge	D6-1	In addition to the Supreme Court of the United States , whose existence and some aspects of whose jurisdiction are beyond the constitutional power of Congress to alter, acts of Congress have established 13 courts of appeals (also called "circuit courts") with appellate jurisdiction over different regions of the United States, and 94 United States district courts .	0
Q6	how long is the term for federal judges	D6	United States federal judge	D6-2	Every judge appointed to such a court may be categorized as a federal judge; such positions include the Chief Justice and Associate Justices of the Supreme Court, Circuit Judges of the courts of appeals, and district judges of the United States district courts .	0
Q6	how long is the term for federal judges	D6	United States federal judge	D6-3	All of these judges described thus far are referred to sometimes as "Article III judges" because they exercise the judicial power vested in the judicial branch of the federal government by Article III of the U.S. Constitution.	0
Q6	how long is the term for federal judges	D6	United States federal judge	D6-4	In addition, judges of the Court of International Trade exercise judicial power pursuant to Article III.	0
Q6	how long is the term for federal judges	D6	United States federal judge	D6-5	Other judges serving in the federal courts, including magistrate judges and bankruptcy judges , are also sometimes referred to as "federal judges"; however, they are neither appointed by the President nor confirmed by the Senate, and their power derives from Article I instead.	0
Q6	how long is the term for federal judges	D6	United States federal judge	D6-6	See Article I and Article III tribunals .	0
Q7	how a beretta model 21 pistols magazines works	D7	Beretta 21A Bobcat	D7-0	The Beretta 21A Bobcat is a small pocket-sized semi-automatic pistol designed by Beretta in Italy.	0
Q7	how a beretta model 21 pistols magazines works	D7	Beretta 21A Bobcat	D7-1	Production began in late 1984, solely in the Beretta U.S.A. facility in Accokeek, Maryland.	0
